CAMIS,DBA,BORO,ADDRESS,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,INSPECTION TYPE,
50037935,SONO UCHI SUSHI,Manhattan,"381 LENOX AVE, 10027",Japanese,1/11/18,04A,Food Protection Certificate not held by supervisor of food operations.,Y,27,C,,Cycle Inspection / Initial Inspection,
41693599,ABOVE BALLROOM,Staten Island,"1100 SOUTH AVENUE, 10314",American,9/16/17,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,18,B,,Cycle Inspection / Initial Inspection,
50065684,MEET CUISINE & BAR,Queens,"3610 UNION ST, 11354",Chinese,2/28/19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,44,C,,Pre-permit (Operational) / Compliance Inspection,
50076590,BEYOND SUSHI,Manhattan,"215 MULBERRY ST, 10012",Vegetarian,5/14/18,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Y,10,A,5/14/18,Pre-permit (Operational) / Initial Inspection,
50067183,DAISY PIZZA,Queens,"2817 36TH AVE, 11106",Pizza,10/18/17,02B,Hot food item not held at or above 140º F.,Y,11,A,,Cycle Inspection / Initial Inspection,
40365120,SOUTH SHORE SWIMMING CLUB,Staten Island,"6736 HYLAN BOULEVARD, 10309",American,6/27/19,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,13,A,6/27/19,Cycle Inspection / Initial Inspection,
41304987,KING'S WOK,Brooklyn,"1473 BEDFORD AVENUE, 11216",Chinese,5/31/18,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,11,A,5/31/18,Cycle Inspection / Initial Inspection,
50073413,MISS LI HENAN CUISINE,Queens,"13349 ROOSEVELT AVE, 11354",Chinese,9/24/18,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,15,B,9/24/18,Cycle Inspection / Re-inspection,
41254287,VINTAGE 61,Manhattan,"36 PECK SLIP, 10038",French,11/28/16,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,11,A,11/28/16,Cycle Inspection / Initial Inspection,
40396399,MCDONALD'S,Bronx,"5167 EAST  161 STREET, ",Hamburgers,8/11/17,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,18,B,,Cycle Inspection / Initial Inspection,
41477055,PAPASITO MEXICAN GRILL,Manhattan,"223 DYCKMAN STREET, 10034",Mexican,2/9/16,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,31,C,,Cycle Inspection / Initial Inspection,
50044753,MAMA ROSARIA'S PIZZERIA RESTAURANT,Staten Island,"2146 FOREST AVE, 10303",Pizza/Italian,2/27/19,04M,Live roaches present in facility's food and/or non-food areas.,Y,27,B,2/27/19,Cycle Inspection / Re-inspection,
50047834,SUBWAY,Brooklyn,"7810 FLATLANDS AVE, 11236",Sandwiches,6/25/16,04A,Food Protection Certificate not held by supervisor of food operations.,Y,10,A,6/25/16,Pre-permit (Operational) / Re-inspection,
41688043,GELSO & GRAND,Manhattan,"161 MULBERRY STREET, 10013",Italian,8/8/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,12,A,8/8/17,Cycle Inspection / Initial Inspection,
50038733,HERO SHOP,Brooklyn,"1211 MCDONALD AVE, 11230",American,7/31/17,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,21,B,,Cycle Inspection / Initial Inspection,
41508109,PURE THAI RESTAURANT,Manhattan,"766 9 AVENUE, 10019",Thai,3/28/18,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,21,B,,Cycle Inspection / Initial Inspection,
41057360,KROLEWSKIE JADLO,Brooklyn,"694 MANHATTAN AVENUE, 11222",Polish,12/10/16,02B,Hot food item not held at or above 140º F.,Y,33,C,,Cycle Inspection / Initial Inspection,
50059510,PARS NEW YORK,Manhattan,"249 W 26TH ST, 10001",American,4/7/17,10H,Proper sanitization not provided for utensil ware washing operation.,N,30,C,4/7/17,Pre-permit (Operational) / Re-inspection,
41050702,CHRIS SUPER DELI,Bronx,"903 SHERIDAN AVENUE, 10451",Delicatessen,7/14/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,17,B,,Cycle Inspection / Initial Inspection,
50065358,ANDIAMO CAFE,Bronx,"2467 GRAND CONCOURSE, 10468",American,12/3/19,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,12,A,,Cycle Inspection / Initial Inspection,
50048336,MCDONALD'S,Queens,"9015 QUEENS BLVD, 11373",American,5/16/19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,,Cycle Inspection / Initial Inspection,
50002191,ALADDIN HOOKAH LOUNGE,Queens,"2557 STEINWAY STREET, 11103",Middle Eastern,4/4/19,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,13,A,,Cycle Inspection / Initial Inspection,
