Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-4,2,4,-2,-13,-24,-18,5,-6,-15,-3,3
1881,-11,-10,6,9,9,-5,-8,-2,-5,-2,-2,6
1882,6,7,7,-2,0,-14,-5,2,-4,2,-1,-9
1883,-5,-11,-10,-7,-8,0,-7,-5,-8,-7,-5,-6
1884,-8,-5,-10,-23,-32,-30,-23,-4,-11,-9,-13,-18
1885,-21,-24,-31,-33,-30,-42,-33,-20,-17,-11,-14,-11
1886,-18,-25,-22,-22,-18,-35,-24,-22,-18,-26,-19,-35
1887,-40,-47,-31,-35,-37,-27,-24,-13,-28,-25,-28,-24
1888,-23,-14,-26,-21,-29,-33,-22,-12,-8,1,5,12
1889,7,2,8,-1,0,-15,-10,-23,-18,-12,-6,-5
1890,-25,-34,-36,-38,-43,-33,-29,-38,-39,-41,-28,-20
1891,-25,-27,-26,-24,-15,-26,-28,-24,-26,-17,-14,-6
1892,-12,-8,-15,-22,-22,-36,-28,-22,-14,-3,-4,-14
1893,-15,-20,-18,-30,-29,-36,-20,-21,-20,-11,-9,-7
1894,-21,-24,-29,-37,-36,-40,-28,-23,-24,-18,-4,-9
1895,-17,-9,-19,-26,-24,-23,-17,-7,-19,-11,-23,-7
1896,-8,-8,-3,-1,-15,-29,-5,-1,-2,10,9,12
1897,7,4,10,1,-16,-19,-12,-12,-12,-11,-12,-10
1898,-9,-15,-27,-36,-33,-30,-34,-35,-27,-32,-30,-24
1899,-25,-14,-16,-21,-20,-28,-16,-10,-5,-16,-13,-9
1900,-15,0,-9,-11,-17,-10,-11,-12,-10,-5,-3,-13
1901,-14,-16,-19,-19,-22,-29,-32,-27,-18,-32,-15,-17
1902,-25,-19,-22,-22,-27,-26,-27,-35,-27,-29,-29,-27
1903,-28,-27,-34,-40,-41,-43,-31,-40,-51,-51,-48,-51
1904,-55,-60,-62,-55,-63,-52,-47,-49,-50,-42,-31,-35
1905,-30,-39,-23,-26,-33,-29,-34,-21,-23,-26,-26,-11
1906,-1,-4,-16,-15,-26,-32,-23,-28,-35,-25,-39,-35
1907,-30,-32,-28,-31,-34,-36,-33,-34,-31,-29,-38,-38
1908,-35,-38,-41,-43,-46,-47,-40,-38,-43,-47,-43,-46
1909,-52,-48,-42,-53,-61,-54,-47,-33,-40,-46,-53,-57
1910,-51,-48,-54,-45,-39,-32,-32,-33,-36,-51,-54,-54
1911,-54,-59,-61,-65,-57,-64,-45,-44,-45,-35,-24,-13
1912,-17,-13,-15,-17,-27,-33,-33,-33,-32,-32,-28,-30
1913,-27,-28,-42,-30,-33,-41,-17,-21,-29,-26,-25,-17
1914,-11,-12,-14,-21,-22,-26,-12,-6,-3,-7,-10,-4
1915,-16,2,3,6,-9,-31,-14,-26,-21,-22,-23,-19
1916,-18,-16,-18,-27,-32,-51,-43,-22,-24,-29,-45,-52
1917,-63,-60,-54,-46,-38,-39,-19,-6,-13,-25,-36,-29
1918,-29,-25,-27,-30,-39,-30,-26,-28,-10,-8,0,-3
1919,-3,-9,-4,-3,-12,-33,-25,-38,-31,-31,-35,-29
1920,-36,-26,-24,-29,-32,-47,-39,-21,-9,-16,-10,-23
1921,-31,-30,-40,-46,-35,-42,-27,-24,-22,-7,-19,-22
1922,-30,-26,-20,-32,-47,-49,-27,-31,-30,-35,-18,-25
1923,-38,-33,-30,-27,-30,-33,-35,-37,-43,-34,-20,-16
1924,-18,-26,-19,-34,-30,-29,-36,-46,-43,-47,-53,-47
1925,-49,-41,-31,-35,-37,-40,-30,-17,-33,-27,-13,-8
1926,-12,-12,-13,-13,-21,-27,-32,-18,-22,-26,-27,-28
1927,-27,-27,-30,-33,-37,-42,-30,-32,-28,-27,-21,-28
1928,-29,-28,-28,-23,-44,-45,-30,-30,-28,-29,-24,-29
1929,-37,-39,-46,-47,-51,-46,-35,-43,-29,-27,-21,-42
1930,-49,-36,-33,-33,-27,-28,-39,-31,-25,-25,-9,-20
1931,-21,-16,-14,-25,-24,-30,-15,-16,-30,-25,-38,-21
1932,-12,-16,-17,-22,-25,-42,-33,-37,-31,-33,-24,-33
1933,-31,-29,-28,-32,-32,-38,-31,-33,-32,-30,-39,-37
1934,-30,-41,-33,-34,-27,-27,-16,-13,-19,-27,-22,-24
1935,-27,-31,-32,-40,-29,-39,-39,-37,-36,-25,-21,-19
1936,-27,-26,-31,-35,-33,-48,-29,-30,-24,-12,-13,-20
1937,-26,-21,-21,-27,-24,-23,-23,-12,-11,-17,-8,-15
1938,-22,-23,-17,-22,-22,-28,-18,-23,-18,-7,-20,-17
1939,-16,-16,-15,-15,-9,-15,-17,-19,-27,-15,-12,7
1940,10,2,14,6,7,7,10,8,7,-5,4,27
1941,18,15,9,21,13,8,21,13,-5,23,29,26
1942,20,13,11,10,6,-1,-1,1,-16,-26,-9,-4
1943,5,-6,-10,-11,-10,-4,18,-10,-3,-1,3,8
1944,9,6,21,22,16,24,25,22,23,9,0,8
1945,10,8,4,11,4,-7,3,25,25,17,7,9
1946,-5,-4,-9,-19,-17,-39,-23,-27,-12,-15,-19,-17
